Visitor Lga Name 1,Park Tourism Region,Park,last_yr,this_yr,percent_change
Casey City,All,Tolderodden Conservation Park,4,0,-100
Casey City,All,Tuan State Forest,4,6,50
Casey City,All,Tully Gorge National Park,14,3,-78.57142857
Casey City,All,Welford National Park,0,4,100
Casey City,All,Whitsunday Islands National Park,16,68,325
Casey City,All,Wongi State Forest,0,2,100
Casey City,All,Wooroonooran National Park,6,11,83.33333333
Cassowary Coast Regional,All,Abergowrie State Forest,51,61,19.60784314
Cassowary Coast Regional,All,Amamoor State Forest and Forest Reserve,15,10,-33.33333333
Cassowary Coast Regional,All,Barnard Island Group National Park,148,35,-76.35135135
Cassowary Coast Regional,All,Blackbraes National Park,2,0,-100
Cassowary Coast Regional,All,Blackdown Tableland National Park,19,2,-89.47368421
Cassowary Coast Regional,All,Boodjamulla (Lawn Hill) National Park,25,0,-100
Cassowary Coast Regional,All,Bowling Green Bay National Park,1,0,-100
Cassowary Coast Regional,All,Bunya Mountains National Park,15,2,-86.66666667
Cassowary Coast Regional,All,Burrum Coast National Park,8,0,-100
Cassowary Coast Regional,All,Byfield Conservation Park,2,0,-100
Cassowary Coast Regional,All,Byfield State Forest,14,11,-21.42857143
Cassowary Coast Regional,All,Cape Hillsborough National Park,6,3,-50
Cassowary Coast Regional,All,Cape Melville National Park (CYPAL),150,74,-50.66666667
Cassowary Coast Regional,All,Conway Circuit,12,0,-100
Cassowary Coast Regional,All,Cooloola Recreation Area,36,19,-47.22222222
Cassowary Coast Regional,All,Crediton State Forest,0,3,100
Cassowary Coast Regional,All,D'Aguilar National Park,1,0,-100
Cassowary Coast Regional,All,Daintree National Park,6,0,-100
Cassowary Coast Regional,All,Daintree National Park (CYPAL),0,11,100
Cassowary Coast Regional,All,Danbulla National Park,"1,008",797,-20.93253968
Cassowary Coast Regional,All,Davies Creek National Park,32,6,-81.25
Cassowary Coast Regional,All,Dinden National Park,67,32,-52.23880597
Cassowary Coast Regional,All,Eungella National Park,6,4,-33.33333333
Cassowary Coast Regional,All,Eurimbula National Park,8,2,-75
Cassowary Coast Regional,All,Expedition National Park,4,0,-100
Cassowary Coast Regional,All,Family Islands National Park,368,257,-30.16304348
Cassowary Coast Regional,All,Frankland Group National Park,64,0,-100
Cassowary Coast Regional,All,Girramay National Park,118,208,76.27118644
Cassowary Coast Regional,All,Girraween National Park,7,2,-71.42857143
Cassowary Coast Regional,All,Girringun National Park,157,111,-29.29936306
Cassowary Coast Regional,All,Goold Island National Park,242,121,-50
Cassowary Coast Regional,All,Heathlands Resources Reserve,0,10,100
Cassowary Coast Regional,All,Hinchinbrook Island National Park,837,318,-62.00716846
Cassowary Coast Regional,All,"Hinchinbrook Island NP, Thorsborne Trail",120,35,-70.83333333
Cassowary Coast Regional,All,Homevale National Park,2,0,-100
Cassowary Coast Regional,All,Imbil State Forest,0,16,100
Cassowary Coast Regional,All,Inskip Peninsula Recreation Area,91,7,-92.30769231
Cassowary Coast Regional,All,Isla Gorge National Park,2,0,-100
Cassowary Coast Regional,All,Jardine River National Park,33,119,260.6060606
Cassowary Coast Regional,All,Jimna State Forest,0,4,100
Cassowary Coast Regional,All,K'gari (Fraser Island) Recreation Area,170,50,-70.58823529
Cassowary Coast Regional,All,Koombooloomba National Park and Conservation Park,53,43,-18.86792453
Cassowary Coast Regional,All,Kutini-Payamu (Iron Range) National Park (CYPAL),31,16,-48.38709677
Cassowary Coast Regional,All,Main Range Conservation Park,0,6,100
Cassowary Coast Regional,All,Misty Mountains Wilderness Tracks,0,5,100
Cassowary Coast Regional,All,Moorrinya National Park,1,0,-100
Cassowary Coast Regional,All,Oyala Thumotang National Park (CYPAL),2,0,-100
Cassowary Coast Regional,All,Palmer Goldfield Resources Reserve,16,4,-75
Cassowary Coast Regional,All,Paluma Range National Park,34,23,-32.35294118
Cassowary Coast Regional,All,Porcupine Gorge National Park,32,20,-37.5
Cassowary Coast Regional,All,Rinyirru (Lakefield) National Park (CYPAL),295,246,-16.61016949
Cassowary Coast Regional,All,Russell River National Park,12,21,75
Cassowary Coast Regional,All,Speewah Conservation Park,3,6,100
Cassowary Coast Regional,All,Springbrook National Park,4,1,-75
Cassowary Coast Regional,All,Tully Gorge National Park,16,31,93.75
Cassowary Coast Regional,All,Wet Tropics Great Walk,0,14,100
Cassowary Coast Regional,All,White Mountains National Park,0,8,100
Cassowary Coast Regional,All,Whitsunday Islands National Park,4,0,-100
Cassowary Coast Regional,All,Wooroonooran National Park,56,25,-55.35714286
Cassowary Coast Regional,All,"Wooroonooran NP, Bartle Frere trail",0,10,100
Central Coast Council,All,Abergowrie State Forest,2,6,200
Central Coast Council,All,Amamoor State Forest and Forest Reserve,36,12,-66.66666667
Central Coast Council,All,Auburn River National Park,8,1,-87.5
Central Coast Council,All,Barakula State Forest,0,1,100
Central Coast Council,All,Beerburrum and Beerwah State Forests,93,156,67.74193548
Central Coast Council,All,Benarkin State Forest,6,15,150
Central Coast Council,All,Blackdown Tableland National Park,37,70,89.18918919
Central Coast Council,All,Bladensburg National Park,33,10,-69.6969697
Central Coast Council,All,Boodjamulla (Lawn Hill) National Park,132,0,-100
Central Coast Council,All,Bowling Green Bay National Park,1,5,400
Central Coast Council,All,Bribie Island Recreation Area,34,55,61.76470588
Central Coast Council,All,Brooyar State Forest,9,3,-66.66666667
Central Coast Council,All,Bunya Mountains National Park,27,32,18.51851852
Central Coast Council,All,Burrum Coast National Park,39,70,79.48717949
Central Coast Council,All,Byfield Conservation Park,24,7,-70.83333333
Central Coast Council,All,Byfield National Park,3,12,300
Central Coast Council,All,Byfield State Forest,96,189,96.875
Central Coast Council,All,Cape Hillsborough National Park,56,13,-76.78571429
Central Coast Council,All,Cape Melville National Park (CYPAL),60,0,-100
Central Coast Council,All,Cape Palmerston National Park,4,4,0
Central Coast Council,All,Capricornia Cays National Park,227,48,-78.85462555
Central Coast Council,All,Carnarvon Great Walk,2,17,750
Central Coast Council,All,Carnarvon National Park,15,32,113.3333333
Central Coast Council,All,Cathu State Forest,2,3,50
Central Coast Council,All,Charon Point Conservation Park,0,4,100
Central Coast Council,All,Conondale National Park,10,16,60
Central Coast Council,All,Conondale Range Great Walk,0,4,100
Central Coast Council,All,Cooloola Great Walk,0,20,100
Central Coast Council,All,Cooloola Recreation Area,430,336,-21.86046512
Central Coast Council,All,Crediton State Forest,6,2,-66.66666667
Central Coast Council,All,Crows Nest National Park,12,19,58.33333333
Central Coast Council,All,Culgoa Floodplain National Park,0,10,100
Central Coast Council,All,Currawinya National Park,4,9,125
Central Coast Council,All,D'Aguilar National Park,23,10,-56.52173913
Central Coast Council,All,Daintree National Park,40,0,-100
Central Coast Council,All,Daintree National Park (CYPAL),0,63,100
Central Coast Council,All,Dalrymple National Park,6,6,0
Central Coast Council,All,Danbulla National Park,139,92,-33.81294964
Central Coast Council,All,Davies Creek National Park,30,3,-90
Central Coast Council,All,Deepwater National Park,65,54,-16.92307692
Central Coast Council,All,Diamantina National Park,23,20,-13.04347826
Central Coast Council,All,Dinden National Park,17,3,-82.35294118
Central Coast Council,All,Eungella National Park,52,29,-44.23076923
Central Coast Council,All,Eurimbula National Park,72,44,-38.88888889
Central Coast Council,All,Expedition National Park,6,2,-66.66666667
Central Coast Council,All,Family Islands National Park,0,8,100
Central Coast Council,All,Frankland Group National Park,12,0,-100
Central Coast Council,All,Girramay National Park,64,39,-39.0625
Central Coast Council,All,Girraween National Park,38,136,257.8947368
Central Coast Council,All,Girringun National Park,37,51,37.83783784
Central Coast Council,All,Glen Rock State Forest,16,0,-100
Central Coast Council,All,Gold Coast Hinterland Great Walk,8,0,-100
Central Coast Council,All,Goold Island National Park,0,4,100
Central Coast Council,All,Heathlands Resources Reserve,24,6,-75
Central Coast Council,All,Hell Hole Gorge National Park,2,0,-100
Central Coast Council,All,"Hinchinbrook Island NP, Thorsborne Trail",39,51,30.76923077
Central Coast Council,All,Idalia National Park,9,8,-11.11111111
Central Coast Council,All,Imbil State Forest,8,24,200
Central Coast Council,All,Inskip Peninsula Recreation Area,646,713,10.37151703
Central Coast Council,All,Isla Gorge National Park,4,10,150
Central Coast Council,All,Jardine River National Park,179,145,-18.99441341
Central Coast Council,All,Jimna State Forest,5,0,-100
Central Coast Council,All,K'gari (Fraser Island) Great Walk,37,2,-94.59459459
Central Coast Council,All,K'gari (Fraser Island) Recreation Area,"5,742","4,770",-16.92789969
Central Coast Council,All,Keppel Bay Islands National Park,37,0,-100
Central Coast Council,All,Koombooloomba National Park and Conservation Park,7,0,-100
Central Coast Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),189,216,14.28571429
Central Coast Council,All,Lochern National Park,4,0,-100
Central Coast Council,All,Main Range Conservation Park,0,4,100
Central Coast Council,All,Main Range National Park,6,18,200
Central Coast Council,All,"Main Range NP, Scenic Rim Trail",0,6,100
Central Coast Council,All,Molle Islands National Park,4,4,0
Central Coast Council,All,Moogerah Peaks National Park,16,1,-93.75
Central Coast Council,All,Moorrinya National Park,0,2,100
Central Coast Council,All,Mount Barney National Park,4,0,-100
Central Coast Council,All,Mouth of Baffle Creek Conservation Park,0,1,100
Central Coast Council,All,Munga-Thirri National Park,0,10,100
Central Coast Council,All,Nuga Nuga National Park,20,30,50
Central Coast Council,All,Oyala Thumotang National Park (CYPAL),6,0,-100
Central Coast Council,All,Palmer Goldfield Resources Reserve,6,0,-100
Central Coast Council,All,Paluma Range National Park,169,173,2.366863905
Central Coast Council,All,Porcupine Gorge National Park,97,100,3.092783505
Central Coast Council,All,Rinyirru (Lakefield) National Park (CYPAL),128,117,-8.59375
Central Coast Council,All,Rundle Range National Park,3,0,-100
Central Coast Council,All,Russell River National Park,2,1,-50
Central Coast Council,All,Speewah Conservation Park,17,7,-58.82352941
Central Coast Council,All,Springbrook National Park,79,33,-58.2278481
Central Coast Council,All,Sundown National Park,10,0,-100
Central Coast Council,All,Tuan State Forest,21,22,4.761904762
Central Coast Council,All,Tully Gorge National Park,27,21,-22.22222222
Central Coast Council,All,Welford National Park,9,4,-55.55555556
Central Coast Council,All,Whitsunday Islands National Park,103,83,-19.41747573
Central Coast Council,All,Wongi State Forest,9,4,-55.55555556
Central Coast Council,All,Wooroonooran National Park,50,21,-58
Central Darling Shire Council,All,Abergowrie State Forest,0,2,100
Central Darling Shire Council,All,Blackdown Tableland National Park,0,12,100
Central Darling Shire Council,All,Bunya Mountains National Park,0,3,100
Central Darling Shire Council,All,Byfield Conservation Park,2,0,-100
Central Darling Shire Council,All,Byfield State Forest,2,0,-100
Central Darling Shire Council,All,Cooloola Recreation Area,10,2,-80
Central Darling Shire Council,All,Crows Nest National Park,0,1,100
Central Darling Shire Council,All,Currawinya National Park,2,22,1000
Central Darling Shire Council,All,Daintree National Park (CYPAL),0,2,100
Central Darling Shire Council,All,Danbulla National Park,0,4,100
Central Darling Shire Council,All,Girringun National Park,4,0,-100
Central Darling Shire Council,All,Hell Hole Gorge National Park,6,0,-100
Central Darling Shire Council,All,Inskip Peninsula Recreation Area,10,18,80
Central Darling Shire Council,All,K'gari (Fraser Island) Recreation Area,201,200,-0.497512438
Central Darling Shire Council,All,Paluma Range National Park,2,11,450
Central Darling Shire Council,All,Porcupine Gorge National Park,0,2,100
Central Darling Shire Council,All,Rinyirru (Lakefield) National Park (CYPAL),0,4,100
Central Goldfields Shire,All,Conondale National Park,0,1,100
Central Goldfields Shire,All,D'Aguilar National Park,0,2,100
Central Goldfields Shire,All,Imbil State Forest,0,1,100
Central Goldfields Shire,All,K'gari (Fraser Island) Recreation Area,0,9,100
Central Goldfields Shire,All,Paluma Range National Park,0,7,100
Central Highlands Council,All,Blackbraes National Park,2,0,-100
Central Highlands Council,All,Blackdown Tableland National Park,0,2,100
Central Highlands Council,All,Bladensburg National Park,0,12,100
Central Highlands Council,All,Bunya Mountains National Park,0,6,100
Central Highlands Council,All,Burrum Coast National Park,9,3,-66.66666667
Central Highlands Council,All,Byfield State Forest,0,4,100
Central Highlands Council,All,Carnarvon Great Walk,0,4,100
Central Highlands Council,All,Carnarvon National Park,0,8,100
Central Highlands Council,All,Cooloola Great Walk,4,0,-100
Central Highlands Council,All,Daintree National Park (CYPAL),0,6,100
Central Highlands Council,All,Danbulla National Park,2,5,150
Central Highlands Council,All,Deepwater National Park,1,0,-100
Central Highlands Council,All,Dinden National Park,0,4,100
Central Highlands Council,All,Eungella National Park,0,5,100
Central Highlands Council,All,Eurimbula National Park,12,6,-50
Central Highlands Council,All,Girringun National Park,0,6,100
Central Highlands Council,All,Heathlands Resources Reserve,20,0,-100
Central Highlands Council,All,"Hinchinbrook Island NP, Thorsborne Trail",6,10,66.66666667
Central Highlands Council,All,Inskip Peninsula Recreation Area,1,14,1300
Central Highlands Council,All,Jardine River National Park,24,0,-100
Central Highlands Council,All,K'gari (Fraser Island) Recreation Area,74,38,-48.64864865
Central Highlands Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),22,0,-100
Central Highlands Council,All,Nuga Nuga National Park,2,0,-100
Central Highlands Council,All,Paluma Range National Park,0,22,100
Central Highlands Council,All,Porcupine Gorge National Park,0,7,100
Central Highlands Council,All,Springbrook National Park,2,0,-100
Central Highlands Council,All,Tuan State Forest,3,0,-100
Central Highlands Regional,All,Abergowrie State Forest,6,4,-33.33333333
Central Highlands Regional,All,Amamoor State Forest and Forest Reserve,6,22,266.6666667
Central Highlands Regional,All,Auburn River National Park,6,0,-100
Central Highlands Regional,All,Baldy Mountain Forest Reserve,5,0,-100
Central Highlands Regional,All,Barnard Island Group National Park,2,17,750
Central Highlands Regional,All,Beerburrum and Beerwah State Forests,5,37,640
Central Highlands Regional,All,Benarkin State Forest,7,6,-14.28571429
Central Highlands Regional,All,Blackbraes National Park,4,0,-100
Central Highlands Regional,All,Blackdown Tableland National Park,495,523,5.656565657
Central Highlands Regional,All,Bladensburg National Park,8,29,262.5
Central Highlands Regional,All,Boodjamulla (Lawn Hill) National Park,109,0,-100
Central Highlands Regional,All,Bowling Green Bay National Park,0,6,100
Central Highlands Regional,All,Bribie Island Recreation Area,0,34,100
Central Highlands Regional,All,Brooyar State Forest,6,1,-83.33333333
Central Highlands Regional,All,Bunya Mountains National Park,76,21,-72.36842105
Central Highlands Regional,All,Burrum Coast National Park,79,110,39.24050633
Central Highlands Regional,All,Byfield Conservation Park,261,173,-33.7164751
Central Highlands Regional,All,Byfield National Park,469,327,-30.2771855
Central Highlands Regional,All,Byfield State Forest,323,520,60.99071207
Central Highlands Regional,All,Canyon Resources Reserve,2,0,-100
Central Highlands Regional,All,Cape Hillsborough National Park,162,56,-65.43209877
Central Highlands Regional,All,Cape Melville National Park (CYPAL),369,120,-67.4796748
Central Highlands Regional,All,Cape Palmerston National Park,427,425,-0.468384075
Central Highlands Regional,All,Capricornia Cays National Park,12,25,108.3333333
Central Highlands Regional,All,Carnarvon Great Walk,33,23,-30.3030303
Central Highlands Regional,All,Carnarvon National Park,231,160,-30.73593074
Central Highlands Regional,All,Cathu State Forest,2,3,50
Central Highlands Regional,All,Charon Point Conservation Park,70,16,-77.14285714
Central Highlands Regional,All,Conondale National Park,11,32,190.9090909
Central Highlands Regional,All,Conway Circuit,2,4,100
Central Highlands Regional,All,Conway National Park,0,5,100
Central Highlands Regional,All,Cooloola Great Walk,0,24,100
Central Highlands Regional,All,Cooloola Recreation Area,221,117,-47.05882353
Central Highlands Regional,All,Crediton State Forest,153,53,-65.35947712
Central Highlands Regional,All,Crows Nest National Park,4,0,-100
Central Highlands Regional,All,Currawinya National Park,0,18,100
Central Highlands Regional,All,Curtis Island National Park and Conservation Park,6,51,750
Central Highlands Regional,All,D'Aguilar National Park,7,15,114.2857143
Central Highlands Regional,All,Daintree National Park,26,0,-100
Central Highlands Regional,All,Daintree National Park (CYPAL),0,123,100
Central Highlands Regional,All,Dalrymple National Park,36,16,-55.55555556
Central Highlands Regional,All,Danbulla National Park,"1,264",989,-21.75632911
Central Highlands Regional,All,Davies Creek National Park,11,14,27.27272727
Central Highlands Regional,All,Deepwater National Park,56,67,19.64285714
Central Highlands Regional,All,Diamantina National Park,12,28,133.3333333
Central Highlands Regional,All,Dinden National Park,9,36,300
Central Highlands Regional,All,Eungella National Park,163,74,-54.60122699
Central Highlands Regional,All,Eurimbula National Park,82,212,158.5365854
Central Highlands Regional,All,Expedition National Park,2,10,400
Central Highlands Regional,All,Family Islands National Park,0,12,100
Central Highlands Regional,All,Flinders Group National Park (CYPAL),18,0,-100
Central Highlands Regional,All,Frankland Group National Park,18,85,372.2222222
Central Highlands Regional,All,Girramay National Park,53,69,30.18867925
Central Highlands Regional,All,Girraween National Park,36,27,-25
Central Highlands Regional,All,Girringun National Park,170,57,-66.47058824
Central Highlands Regional,All,Glen Rock State Forest,4,2,-50
Central Highlands Regional,All,Gloucester Islands National Park,2,0,-100
Central Highlands Regional,All,Gold Coast Hinterland Great Walk,1,0,-100
Central Highlands Regional,All,Goodedulla National Park,18,2,-88.88888889
Central Highlands Regional,All,Goold Island National Park,3,6,100
Central Highlands Regional,All,Heathlands Resources Reserve,2,15,650
Central Highlands Regional,All,Hell Hole Gorge National Park,2,0,-100
Central Highlands Regional,All,Hinchinbrook Island National Park,20,14,-30
Central Highlands Regional,All,"Hinchinbrook Island NP, Thorsborne Trail",22,17,-22.72727273
Central Highlands Regional,All,Homevale National Park,4,2,-50
Central Highlands Regional,All,Hope Islands National Park,8,4,-50
Central Highlands Regional,All,Idalia National Park,1,6,500
Central Highlands Regional,All,Imbil State Forest,58,53,-8.620689655
Central Highlands Regional,All,Inskip Peninsula Recreation Area,175,185,5.714285714
Central Highlands Regional,All,Isla Gorge National Park,2,5,150
Central Highlands Regional,All,Jardine River National Park,115,180,56.52173913
Central Highlands Regional,All,Jimna State Forest,0,5,100
Central Highlands Regional,All,K'gari (Fraser Island) Recreation Area,"1,352","1,229",-9.097633136
Central Highlands Regional,All,Kalpowar State Forest,16,5,-68.75
Central Highlands Regional,All,Keppel Bay Islands National Park,233,199,-14.59227468
Central Highlands Regional,All,Koombooloomba National Park and Conservation Park,32,83,159.375
Central Highlands Regional,All,Kroombit Tops National Park,33,70,112.1212121
Central Highlands Regional,All,Kutini-Payamu (Iron Range) National Park (CYPAL),166,235,41.56626506
Central Highlands Regional,All,Lamington National Park,0,4,100
Central Highlands Regional,All,Lochern National Park,1,4,300
Central Highlands Regional,All,Mackay Highlands Great Walk,2,0,-100
Central Highlands Regional,All,Main Range National Park,8,8,0
Central Highlands Regional,All,Mapleton National Park,3,0,-100
Central Highlands Regional,All,Mia Mia State Forest,4,0,-100
Central Highlands Regional,All,Moogerah Peaks National Park,2,0,-100
Central Highlands Regional,All,Moorrinya National Park,2,0,-100
Central Highlands Regional,All,Mount Barney National Park,1,7,600
Central Highlands Regional,All,Mouth of Baffle Creek Conservation Park,6,0,-100
Central Highlands Regional,All,Munga-Thirri National Park,2,0,-100
Central Highlands Regional,All,Newry Islands National Park,10,4,-60
Central Highlands Regional,All,Nuga Nuga National Park,160,179,11.875
Central Highlands Regional,All,Oyala Thumotang National Park (CYPAL),19,38,100
Central Highlands Regional,All,Palmer Goldfield Resources Reserve,0,20,100
Central Highlands Regional,All,Paluma Range National Park,171,106,-38.01169591
Central Highlands Regional,All,Percy Isles National Park,12,0,-100
Central Highlands Regional,All,Porcupine Gorge National Park,106,61,-42.45283019
Central Highlands Regional,All,Rinyirru (Lakefield) National Park (CYPAL),159,309,94.33962264
Central Highlands Regional,All,Russell River National Park,29,24,-17.24137931
Central Highlands Regional,All,Smith Islands National Park,4,0,-100
Central Highlands Regional,All,Speewah Conservation Park,12,31,158.3333333
Central Highlands Regional,All,Springbrook National Park,6,4,-33.33333333
Central Highlands Regional,All,Sundown National Park,6,6,0
Central Highlands Regional,All,Sunshine Coast Hinterland Great Walk,0,2,100
Central Highlands Regional,All,Tolderodden Conservation Park,6,2,-66.66666667
Central Highlands Regional,All,Tuan State Forest,14,30,114.2857143
Central Highlands Regional,All,Tully Gorge National Park,6,7,16.66666667
Central Highlands Regional,All,Welford National Park,4,31,675
Central Highlands Regional,All,Wet Tropics Great Walk,18,0,-100
Central Highlands Regional,All,White Mountains National Park,4,4,0
Central Highlands Regional,All,Whitsunday Islands National Park,12,61,408.3333333
Central Highlands Regional,All,Wongi State Forest,20,34,70
Central Highlands Regional,All,Wooroonooran National Park,50,43,-14
Central Highlands Regional,All,"Wooroonooran NP, Bartle Frere trail",0,1,100
Cessnock City Council,All,Amamoor State Forest and Forest Reserve,2,3,50
Cessnock City Council,All,Beerburrum and Beerwah State Forests,6,6,0
Cessnock City Council,All,Boodjamulla (Lawn Hill) National Park,4,0,-100
Cessnock City Council,All,Bribie Island Recreation Area,3,4,33.33333333
Cessnock City Council,All,Brooyar State Forest,0,3,100
Cessnock City Council,All,Bunya Mountains National Park,2,0,-100
Cessnock City Council,All,Byfield State Forest,0,12,100
Cessnock City Council,All,Carnarvon National Park,12,2,-83.33333333
Cessnock City Council,All,Conondale National Park,0,2,100
Cessnock City Council,All,Cooloola Recreation Area,8,3,-62.5
Cessnock City Council,All,Crows Nest National Park,4,12,200
Cessnock City Council,All,Daintree National Park,4,0,-100
Cessnock City Council,All,Daintree National Park (CYPAL),0,4,100
Cessnock City Council,All,Girraween National Park,0,2,100
Cessnock City Council,All,Glen Rock State Forest,3,0,-100
Cessnock City Council,All,Inskip Peninsula Recreation Area,17,14,-17.64705882
Cessnock City Council,All,Jardine River National Park,2,0,-100
Cessnock City Council,All,K'gari (Fraser Island) Recreation Area,430,254,-40.93023256
Cessnock City Council,All,Keppel Bay Islands National Park,2,0,-100
Cessnock City Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),3,0,-100
Cessnock City Council,All,Nuga Nuga National Park,4,0,-100
Cessnock City Council,All,Paluma Range National Park,0,2,100
Circular Head Council,All,Byfield Conservation Park,4,0,-100
Circular Head Council,All,Byfield State Forest,0,6,100
Circular Head Council,All,Deepwater National Park,2,0,-100
Circular Head Council,All,Eurimbula National Park,2,0,-100
Circular Head Council,All,Girraween National Park,0,3,100
Circular Head Council,All,K'gari (Fraser Island) Recreation Area,0,6,100
Circular Head Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),0,8,100
Circular Head Council,All,Oyala Thumotang National Park (CYPAL),0,12,100
Circular Head Council,All,Rinyirru (Lakefield) National Park (CYPAL),0,2,100
Circular Head Council,All,Sundown National Park,4,0,-100
Circular Head Council,All,Tolderodden Conservation Park,0,6,100
City of Albany,All,Girramay National Park,0,18,100
City of Albany,All,Inskip Peninsula Recreation Area,0,12,100
City of Albany,All,K'gari (Fraser Island) Recreation Area,0,16,100
City of Albany,All,Paluma Range National Park,4,2,-50
City of Armadale,All,Abergowrie State Forest,2,0,-100
City of Armadale,All,Beerburrum and Beerwah State Forests,1,1,0
City of Armadale,All,Blackdown Tableland National Park,0,7,100
City of Armadale,All,Bladensburg National Park,0,4,100
City of Armadale,All,Boodjamulla (Lawn Hill) National Park,3,0,-100
City of Armadale,All,Brooyar State Forest,2,6,200
City of Armadale,All,Bunya Mountains National Park,3,0,-100
City of Armadale,All,Burrum Coast National Park,2,14,600
City of Armadale,All,Byfield Conservation Park,0,3,100
City of Armadale,All,Byfield State Forest,2,8,300
City of Armadale,All,Cape Hillsborough National Park,0,8,100
City of Armadale,All,Cape Palmerston National Park,0,4,100
City of Armadale,All,Carnarvon National Park,2,0,-100
City of Armadale,All,Cathu State Forest,0,1,100
City of Armadale,All,Conondale National Park,0,2,100
City of Armadale,All,Cooloola Recreation Area,34,0,-100
City of Armadale,All,Crediton State Forest,0,6,100
City of Armadale,All,Crows Nest National Park,0,2,100
City of Armadale,All,D'Aguilar National Park,3,0,-100
City of Armadale,All,Daintree National Park (CYPAL),0,6,100
City of Armadale,All,Danbulla National Park,3,14,366.6666667
City of Armadale,All,Deepwater National Park,0,2,100
City of Armadale,All,Diamantina National Park,0,6,100
City of Armadale,All,Dinden National Park,0,4,100
City of Armadale,All,Eungella National Park,2,3,50
City of Armadale,All,Eurimbula National Park,0,5,100
City of Armadale,All,Girramay National Park,0,4,100
City of Armadale,All,Girringun National Park,2,14,600
City of Armadale,All,Inskip Peninsula Recreation Area,4,24,500
City of Armadale,All,K'gari (Fraser Island) Recreation Area,65,85,30.76923077
City of Armadale,All,Koombooloomba National Park and Conservation Park,0,6,100
City of Armadale,All,Kroombit Tops National Park,0,4,100
City of Armadale,All,Kutini-Payamu (Iron Range) National Park (CYPAL),0,10,100
City of Armadale,All,Main Range National Park,0,2,100
City of Armadale,All,Moorrinya National Park,2,0,-100
City of Armadale,All,Paluma Range National Park,16,9,-43.75
City of Armadale,All,Porcupine Gorge National Park,7,0,-100
City of Armadale,All,Rinyirru (Lakefield) National Park (CYPAL),0,4,100
City of Armadale,All,Speewah Conservation Park,0,7,100
City of Armadale,All,Springbrook National Park,4,8,100
City of Armadale,All,Tuan State Forest,0,12,100
City of Armadale,All,Tully Gorge National Park,0,7,100
City of Armadale,All,White Mountains National Park,0,4,100
City of Armadale,All,Wongi State Forest,8,0,-100
City of Armadale,All,Wooroonooran National Park,8,6,-25
City of Bayswater,All,Abergowrie State Forest,0,9,100
City of Bayswater,All,Amamoor State Forest and Forest Reserve,2,0,-100
City of Bayswater,All,Auburn River National Park,2,0,-100
City of Bayswater,All,Beerburrum and Beerwah State Forests,2,2,0
City of Bayswater,All,Blackdown Tableland National Park,6,2,-66.66666667
City of Bayswater,All,Bowling Green Bay National Park,4,3,-25
City of Bayswater,All,Bribie Island Recreation Area,5,0,-100
City of Bayswater,All,Brooyar State Forest,4,0,-100
City of Bayswater,All,Bunya Mountains National Park,5,0,-100
City of Bayswater,All,Byfield Conservation Park,0,2,100
City of Bayswater,All,Byfield State Forest,0,5,100
City of Bayswater,All,Cape Hillsborough National Park,0,3,100
City of Bayswater,All,Cape Palmerston National Park,2,0,-100
City of Bayswater,All,Capricornia Cays National Park,12,0,-100
City of Bayswater,All,Cathu State Forest,0,4,100
City of Bayswater,All,Conondale National Park,0,2,100
City of Bayswater,All,Cooloola Great Walk,0,8,100
City of Bayswater,All,Cooloola Recreation Area,1,12,1100
City of Bayswater,All,Crediton State Forest,4,0,-100
City of Bayswater,All,Crows Nest National Park,2,0,-100
City of Bayswater,All,Daintree National Park,11,0,-100
City of Bayswater,All,Daintree National Park (CYPAL),0,22,100
City of Bayswater,All,Dalrymple National Park,0,4,100
City of Bayswater,All,Danbulla National Park,18,15,-16.66666667
City of Bayswater,All,Davies Creek National Park,0,21,100
City of Bayswater,All,Deepwater National Park,8,0,-100
City of Bayswater,All,Dinden National Park,0,2,100
City of Bayswater,All,Eungella National Park,4,2,-50
City of Bayswater,All,Eurimbula National Park,0,6,100
City of Bayswater,All,Expedition National Park,6,0,-100
City of Bayswater,All,Girramay National Park,0,13,100
City of Bayswater,All,Girringun National Park,18,14,-22.22222222
City of Bayswater,All,Goold Island National Park,2,0,-100
City of Bayswater,All,Heathlands Resources Reserve,0,4,100
City of Bayswater,All,"Hinchinbrook Island NP, Thorsborne Trail",0,17,100
City of Bayswater,All,Homevale National Park,0,3,100
City of Bayswater,All,Inskip Peninsula Recreation Area,26,154,492.3076923
City of Bayswater,All,Jardine River National Park,0,10,100
City of Bayswater,All,K'gari (Fraser Island) Recreation Area,36,93,158.3333333
City of Bayswater,All,Kutini-Payamu (Iron Range) National Park (CYPAL),2,4,100
City of Bayswater,All,Main Range National Park,12,0,-100
City of Bayswater,All,Molle Islands National Park,6,0,-100
City of Bayswater,All,Nuga Nuga National Park,3,0,-100
City of Bayswater,All,Paluma Range National Park,13,17,30.76923077
City of Bayswater,All,Porcupine Gorge National Park,0,8,100
City of Bayswater,All,Rinyirru (Lakefield) National Park (CYPAL),12,12,0
City of Bayswater,All,Russell River National Park,0,5,100
